	Kingdom	Phylum	Class	Order	Family	Genus
A6BMyco8	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasmataceae 
C80Tra95	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenisphaera
CsrSp463	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	Gastranaerophilales	Gastranaerophilales
F1NS1036	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
F8IFaeca	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
F8IUreo6	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
FNWNL294	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae
FNWNL411	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium
G7WHuG28	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae
G7WHuG57	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Moryella
G9ZRupe2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium
GBGRefri	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaetaceae
GBKMun50	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
GDWLoli3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus
GF3Sang7	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales (Gemella)	Gemella
GFKNeui2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
GFKSpe61	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
GG7Pect2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae
GH8Spe13	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
GHBNiger	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus
GJFBa122	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fastidiosipila
GJFBac32	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales (Peptoniphilus)	Peptoniphilus
GJFBac89	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae
GQZHomi3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia
Gt8Me180	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae
Gt8Me197	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Coriobacteriaceae
Gt8Me241	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Coprobacter
Gt8Met33	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales	Clostridiales
GT9Bact2	Bacteria	Tenericutes	Mollicutes	Mollicutes	Mollicutes	Mollicutes
GV2Pseu5	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacteriaceae
GV2Pyru4	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
GV2Spe67	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacteriaceae
GW6Somer	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
GW6Spe33	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
GWMAdo11	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
GWTAmn51	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
GZRBac15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
H0HHomi7	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
H0LAmnii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
H0LBerge	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae
H0LBivi4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
H0LColor	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae
H0LCorp2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae
H0LDisi2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
H0LSpe86	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
H4SFili3	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania
H7XBact7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales	Bacteroidales
H9MBac20	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae
HFGSpec2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium
HFOSpec6	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae
HGZCaton	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales (Peptoniphilus)	Peptoniphilus
HGZDuerd	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales (Peptoniphilus)	Peptoniphilus
HGZSpec6	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales (Peptoniphilus)	Peptoniphilus
HJZIndis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
HJZSpec8	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
