	Faucher.0008420	Faucher.0008421	Faucher.0008422	Faucher.0008423	Faucher.0008424	Faucher.0008425	Faucher.0008426	Faucher.0008427	Faucher.0008428	Faucher.0008429	Faucher.0008430	Faucher.0008431	Faucher.0008432	Faucher.0008433	Faucher.0008434	Faucher.0008435	Faucher.0008436	Faucher.0008437	Faucher.0008438	Faucher.0008439	Faucher.0008440	Faucher.0008441	Faucher.0008442	Faucher.0008443	Faucher.0008444	Faucher.0008445	Faucher.0008446	Faucher.0008447	Faucher.0008448	Faucher.0008449	Faucher.0008450	Faucher.0008451	Faucher.0008452	Faucher.0008453	Faucher.0008454	Faucher.0008455	Faucher.0008456	Faucher.0008457	Faucher.0008458	Faucher.0008459	Faucher.0008460	Faucher.0008461	Faucher.0008462	Faucher.0008463	Faucher.0008464	Faucher.0008465	Faucher.0008466	Faucher.0008467	Faucher.0008468	Faucher.0008469	Faucher.0008470	Faucher.0008471	Faucher.0008472	Faucher.0008473	Faucher.0008474	Faucher.0008475	Faucher.0008476	Faucher.0008477	Faucher.0008478	Faucher.0008479	Faucher.0008483	Faucher.0008484	Faucher.0008485	Faucher.0008486	Faucher.0008487	Faucher.0008488	Faucher.0008489	Faucher.0008490	Faucher.0008491	Faucher.0008492	Faucher.0008493	Faucher.0008494	Faucher.0008495	Faucher.0008496	Faucher.0008497	Faucher.0008498	Faucher.0008499	Faucher.0008501	Faucher.0008502	Faucher.0008503	Faucher.0008504	Faucher.0008505	Faucher.0008506	Faucher.0008507	Faucher.0008508	Faucher.0008509	Faucher.0008510	Faucher.0008511	Faucher.0008512	Faucher.0008513	Faucher.0008514	Faucher.0008515	Faucher.0008516	Faucher.0008517	Faucher.0008518	Faucher.0008519	Faucher.0008520	Faucher.0008521	Faucher.0008522	Faucher.0008523	Faucher.0008524	Faucher.0008525	Faucher.0008526	Faucher.0008527	Faucher.0008528	Faucher.0008529	Faucher.0008530	Faucher.0008531	Faucher.0008533	Faucher.0008534
A6BMyco8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	18	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C80Tra95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
CsrSp463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F1NS1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F8IFaeca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
F8IUreo6	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	37	0	0	10	0	0	1	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	30	0	0	13	0	0	3	0	0	1	0	0	0	0	0	5	0	0	0	0	0	53	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	1	73	0	0	7	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
FNWNL294	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
FNWNL411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G7WHuG28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
G7WHuG57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
G9ZRupe2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBGRefri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
